Query,APIs,APIClasses
How to correctly do HttpResponseRedirect with reverse?,array.array.reverse(); ,array.array; 
How would I add a link to my menu item in wxpython?,webbrowser.open(); ,webbrowser; 
How can I remove a key from a Python dictionary?,dict.pop(); ,dict; 
How to create file with open function in Python?,os.path.expandvars(); ,os.path; 
Sorting A List Comprehension In One Statement,list.sort(); ,list; 
How to print Unicode in Python 2 when LANG=C,base64.encode(); ,base64; 
Python socket accept blocks - prevents app from quitting,threading.Thread.setDaemon(); ,threading.Thread; 
Import Local module over global python,id(); ,
How would I zip multiple StringIO files?,zipfile.ZipFile.writestr(); ,zipfile.ZipFile; 
"Check if key exists in dictionary. If not, append it",dict.get(); ,dict; 
Seeding random in django,random.seed(); ,random; 
Python download image with lxml,requests.get(); ,requests; 
How do I get my computer's fully qualified domain name in Python?,socket.getfqdn(); ,socket; 
Launch an independent process with python,os.startfile(); ,os; 
Assign a temporary value to a variable in a loop python,dict.get(); ,dict; 
How to save Python in-memory dictionary to a file as a Python source code?,repr(); ,
python re.compile match percent sign %,re.Pattern.search(); ,re.Pattern; 
How can one copy the internal state of zlib compressor object in Python,shutil.copy(); ,shutil; 
Python: access class property from string,getattr(); ,
Evaluating strings against integers (Python),list.sort(); ,list; 
Subtract values in one list from corresponding values in another list,map(); ,
How to delete a symbolic link in python?,os.unlink(); ,os; 
python: How to detect when my thread become orphan?,threading.Thread.is_alive(); ,threading.Thread; 
Get the __file__ of the function one level up in the stack,inspect.getfile(); ,inspect; 
python joining two csv files,next(); ,
start interactive mode on a specific script line,code.interact(); ,code; 
How to generate a list from a pandas DataFrame with the column name and column values?,pandas.DataFrame.itertuples(); ,pandas.DataFrame; 
How do I gracefully interrupt urllib2 downloads?,socket.socket.shutdown(); ,socket.socket; 
How do I read the first line of a string?,str.partition(); ,str; 
traceroute multiple hosts in python,str.strip(); ,str; 
"Django - POST data in latin1, decode as utf-8",codecs.encode(); ,codecs; 
python - how to add unicode literal to a variable?,isinstance(); ,
Getting all combinations of key/value pairs in Python dict,itertools.combinations(); ,itertools; 
Parsing UTF-8/unicode strings with lxml HTML,etree.HTML(); ,etree; 
Remove \xe2\x80\xa6 from string python,codecs.open(); ,codecs; 
How can I generate POSIX values for yesterday and today at midnight in Python?,datetime.date.timetuple(); ,datetime.date; 
Sorting a pandas series,pandas.DataFrame.values(); ,pandas.DataFrame; 
Accessing Object Memory Address,id(); ,
"from list of integers, get number closest to a given value",min(); ,
How can I accept and send cookies with Mechanize?,webbrowser.open(); ,webbrowser; 
how to refer to empty dict value in python,dict.get(); ,dict; 
Mapping over values in a python dictionary,dict.items(); ,dict; 
How to format pubDate with Python,time.strptime(); ,time; 
How can a file be copied?,shutil.copy2(); ,shutil; 
How to open an ascii-encoded file as UTF8?,base64.decode(); ,base64; 
How to find size of list/tuple in python in constant time,len(); ,
Calculate values between two dicts in Python,sum(); ,
MAC address to binary bits conversion,bin(); ,
Set global output precision python,round(); ,
"Pythonic way to ""merge"" two lists to a list of tuples",zip(); ,
Python 3: Print multiple lines to one line,str.maketrans(); ,str; 
Shutting down sockets properly,socket.socket.setsockopt(); ,socket.socket; 
"Python, Deleting all files in a folder older than X days",os.listdir(); ,os; 
"String split on new line, tab and some number of spaces",str.splitlines(); ,str; 
Reimport a module in python while interactive,importlib.reload(); ,importlib; 
django loop through model fields,all(); ,
Norm of sparse python vectors,numpy.dot(); ,numpy; 
Python: execute a long script without block the main process,shlex.split(); ,shlex; 
How do I convert unicode characters to floats in Python?,unicodedata.numeric(); ,unicodedata; 
Python - merge time and date,datetime.datetime.combine(); ,datetime.datetime; 
Python check if any items of a tuple are in a string,any(); ,
Check if an open file has been deleted after open in python,os.stat(); ,os; 
Converting date string in unknown format to datetime,datetime.datetime.strptime(); ,datetime.datetime; 
Replacing instances of a character in a string,str.replace(); ,str; 
How can I substitute a regex only once in Python?,re.sub(); ,re; 
python list comprehension set max len,itertools.islice(); ,itertools; 
Regular Expression - Remove all special characters except alphanumeric and accents,re.sub(); ,re; 
Most concise way to create a python dictionary from local variables,vars(); ,
Python log file in descending order,logging.Logger.addHandler(); ,logging.Logger; 
How can I do 'a' + 1 #=> 'b' in python?,chr(); ,
Add ten seconds to creation time in windows,datetime.datetime.astimezone(); ,datetime.datetime; 
How to determined if a 2 dimensional list contain a value?,any(); ,
Python: How to check if an imported module/package/class is from standard library,inspect.getsourcefile(); ,inspect; 
Python dict how to create key or append an element to key?,dict.setdefault(); ,dict; 
Python capture output from wget?,os.popen(); ,os; 
How to get open files of a subprocess?,idk; ,
"python line separated values in a text when converted to list, adds ""\n"" to the elements in the list",map(); ,
how to receive regex from command line in python,str.decode(); ,str; 
Selecting directory's path with tkinter,tkinter.filedialog.askdirectory(); ,tkinter.filedialog; 
writing text file with line breaks,os.write(); ,os; 
pandas: slice on hierarchical index without a copy,help(); ,
Pythonic way to convert a list with multiple types (including lists!),ast.literal_eval(); ,ast; 
Python: How to create a dictionary named after a list entry?,globals(); ,
How to store itertools.chain and use it more than once?,itertools.chain(); ,itertools; 
Detect and delete locked file in python,fcntl.lockf(); ,fcntl; 
How to load only specific columns from csv file into a DataFrame,pandas.concat(); ,pandas; 
Retrieve SQLite Entry in Flask,repr(); ,
How do I determine if the row has been inserted?,sqlite3.Cursor.execute(); ,sqlite3.Cursor; 
Share a singleton across modules,importlib.reload(); ,importlib; 
What's the fastest way to fixup line-endings for SMTP sending?,re.sub(); ,re; 
how to exit from a pyplot loop?,sys.exit(); ,sys; 
Length of the longest sublist?,max(); ,
Do any python tools exist for rolling over log/configuration files?,logging.handlers.RotatingFileHandler.doRollover(); ,logging.handlers.RotatingFileHandler; 
"pandas dataframe, copy by value",copy.copy(); ,copy; 
How to make the python interpreter correctly handle non-ASCII characters in string operations?,str.replace(); ,str; 
how to identify multiple keywords in raw_input? python,any(); ,
Calculate perimeter of numpy array,sum(); ,
delimiting carat A in python,str.split(); ,str; 
How to extract the test method name from a test method in python,unittest.TestCase.id(); ,unittest.TestCase; 
How to store a hashtable of lists in Python (hashed by identity)?,id(); ,
How can I find the dimensions of a matrix in Python?,len(); ,
How do I strtotime in python?,datetime.datetime.strptime(); ,datetime.datetime; 
How to return a number as a binary string with a set number of bits in python,str.zfill(); ,str; 
Setuptools. How to make package contain extra data folder and all folders inside,os.walk(); ,os; 
How to use scrypt to generate hash for password and salt in Python,hashlib.scrypt(); ,hashlib; 
Key of max value in a dict,max(); ,
Python- How to find the average of multiple values/key in a dictionary,dict.items(); ,dict; 
How do you make Python / PostgreSQL faster?,count(); ,
Simultaneously replacing all values of a dictionary to zero python,dict.fromkeys(); ,dict; 
How to get the first word in the string,str.split(); ,str; 
Check if all the elements in that list are divisible by some given integer or not,all(); ,
Changing str to int in Python,code.InteractiveConsole.raw_input(); ,code.InteractiveConsole; 
is there a way to start/stop linux processes with python?,os.fork(); ,os; 
Converting Twitter XML Date to Python Date Object,datetime.now.date(); ,datetime.now; 
How to delete rows from a pandas DataFrame based on a conditional expression,map(); ,
Output sorted python dict within django template,dict.items(); ,dict; 
how do I find special character in the path string and how many times are they present,str.rfind(); ,str; 
"""group by"" aggregate functions with dictionary comprehensions",dict(); ,
How to sort words in text file?,sorted(); ,
Getting char from string its hex value,ord(); ,
How to extract numbers from filename in Python?,re.search(); ,re; 
python parse file for ip addresses,re.findall(); ,re; 
How to get '\x01' to 1,ord(); ,
Getting folder name,os.path.relpath(); ,os.path; 
sorting python list based on key,datetime.datetime.combine(); ,datetime.datetime; 
Convert string into datetime.time object,datetime.datetime.strptime(); ,datetime.datetime; 
random boolean by percentage,random.randrange(); ,random; 
counting duplicate words in python the fastest way,dict.keys(); ,dict; 
Compress large python objects,zlib.compressobj(); ,zlib; 
Python converting latin1 to UTF8,base64.decode(); ,base64; 
How do I sort a list of datetime or date objects?,sorted(); ,
Iterating over zipped lists in python,enumerate(); ,
Transposing a multi-dimensional matrix in Python with list comprehensions,zip(); ,
Handling multiple requests in Flask,flask.Flask.run(); ,flask.Flask; 
Specifying object property in dot notation with a variable,getattr(); ,
How to redirect in real time STDOUT from imported module to Tkinter Text Widget in python?,sleepBtn.update_idletasks() ; ,sleepBtn; 
How do I determine the proper `paramstyle` when all I have is a `Connection` object?,inspect.getmodule(); ,inspect; 
How to get HTTP return code from python urllib's urlopen?,urllib.request.urlopen(); ,urllib.request; 
How to get the input from the Tkinter Text Widget?,tkinter.ttk.Combobox.get(); ,tkinter.ttk.Combobox; 
Grab an image via the web and save it with Python,urllib.request.urlopen(); ,urllib.request; 
How to get size of remote file?,sftp.stat(); ,sftp; 
How to round datetime64 values,numpy.array(); ,numpy; 
Max/Min value of Dictionary of List,dict.values(); ,dict; 
Running windows shell commands with python,subprocess.check_output(); ,subprocess; 
How to obtain the name of the calling shell in Python?,os.getppid(); ,os; 
Create dictionary comprehension from os.walk,str.endswith(); ,str; 
Is there any single function to print an iterable's values?,print(); ,
Check if object is a number or boolean,isinstance(); ,
Python: How can I obtain something in a list of list?,idk; ,
Cleanest and most Pythonic way to get tomorrow's date?,datetime.date.today(); ,datetime.date; 
Python: file.readline adding a space at the end of the line,str.rstrip(); ,str; 
How to import from config file in Flask?,flask.Config.from_object(); ,flask.Config; 
Check if element exists in tuple of tuples,any(); ,
Converting .txt file to list AND be able to index and print list line by line,str.join(); ,str; 
Check whether the type of a variable is a specific type in Python,isinstance(); ,
How to pass on argparse argument to function as kwargs?,vars(); ,
How do I Get The Selected Object type,isinstance(); ,
How to pass a random function as an argument?,random.normalvariate(); ,random; 
Python: compare first element of lists effectively,all(); ,
Calculate area between two curves (that are normal distributions),scipy.integrate.quad(); ,scipy.integrate; 
How to fetch the key/value pair of a dictionary only containing one item?,dict.keys(); ,dict; 
Find minimum values in a python 3.3 list,min(); ,
Extract type string with Clang bindings,get_result(); ,
"How to replace the quote "" and hyphen character in a string with nothing in Python?",str.replace(); ,str; 
How to eliminate a python3 deprecation warning for the equality operator?,operator.__eq__(); ,operator; 
Python converting *args to list,super(); ,
Is it possible for Python to read non-ascii text from file?,locale.getpreferredencoding(); ,locale; 
Most efficient way to add new keys or append to old keys in a dictionary during iteration in Python?, collections.defaultdict(); , collections; 
convert hex ascii mixed string like r'\x74op' to 'top' in python,codecs.decode(); ,codecs; 
How to you remove characters before and after a string in python?,str.strip(); ,str; 
Add zeros to a float after the decimal point in Python,format(); ,
Limit count of threads for python script,threading.active_count(); ,threading; 
Get timer ticks in Python,time.perf_counter(); ,time; 
How can I check whether a variable is an instance of datetime.datetime or datetime.date,isinstance(); ,
Prevent multiple form submissions in Django,django.db.models.query.QuerySet.get_or_create(); ,django.db.models.query.QuerySet; 
Django with tastypie how to refresh queryset?,multiprocessing.connection.Listener.close(); ,multiprocessing.connection.Listener; 
Longest string in numpy object_ array,max(); ,
Opening multiple python files from folder,os.open(); ,os; 
Python How to capitalize nth letter of a string,str.capitalize(); ,str; 
"How to Test if file contains full path or just file name, Python?",os.path.basename(); ,os.path; 
Find number in string between spaces and parse it,str.split(); ,str; 
Most appropriate conversion of .mat file for database purposes,numpy.savez_compressed(); ,numpy; 
Speed up python loop,itertools.islice(); ,itertools; 
Printing a column in an matrix without numpy,zip(); ,
checking if year is in the string (4 consecutive digits),re.search(); ,re; 
Grab certain words and phrases from a text file in Python,re.findall(); ,re; 
Python: access structure field through its name in a string,getattr(); ,
how can I get filenames without directory name,str.split(); ,str; 
How to obtain the total numbers of rows from a CSV file in Python?,sum(); ,
How to speed up python's 'turtle' function and stop it freezing at the end,turtle.speed(); ,turtle; 
How to decode file in Python-3.x?,open(); ,
Checking a file exists (and ignoring case) in Python,str.lower(); ,str; 
Adding two Series with NaNs,pandas.Series.add(); ,pandas.Series; 
"python, writing Json to file",json.dump(); ,json; 
Automate conversion txt to xls,os.path.isdir(); ,os.path; 
Search value in tree of dicts in python,pandas.DataFrame.append(); ,pandas.DataFrame; 
Generate random number between 0.1 and 1.0. Python,random.uniform(); ,random; 
Formatting a string to be a constant length in Python,str.format(); ,str; 
Terminate a multi-thread python program,threading.Thread.setDaemon(); ,threading.Thread; 
How to join all the lines together in a text file in python?,str.rstrip(); ,str; 
Initializing unknown number of keys with specific values in a dictionary in Python,dict.fromkeys(); ,dict; 
How to clear a multiprocessing queue in python,io.IOBase.close(); ,io.IOBase; 
How to configure format of Python 2.3 logging messages?,logging.basicConfig(); ,logging; 
python read single line from file as string,io.IOBase.readlines(); ,io.IOBase; 
Parse string with date and timezone to UTC datetime,datetime.datetime.now(); ,datetime.datetime; 
How to handle multiple Set-Cookie header in HTTP response,http.client.HTTPResponse.getheaders(); ,http.client.HTTPResponse; 
How to empty DBM file in Python efficiently?,dbm.open(); ,dbm; 
Calling a superclass method from a subclass in python,super(); ,
Dictionary with Tuples as Values?,dict.items(); ,dict; 
How can I get the full list of running processes on a Mac from a python app,os.popen(); ,os; 
"in python, I want to select from array an range by given string",operator.itemgetter(); ,operator; 
How to return dictionary keys as a list in Python?,dict.keys(); ,dict; 
How can i get a file extension from a filetype?,mimetypes.guess_extension(); ,mimetypes; 
Extracting tables containing a string with BeautifulSoup,xml.etree.ElementTree.ElementTree.findall(); ,xml.etree.ElementTree.ElementTree; 
Calculating Pi with decimal on Python,decimal.Decimal.sqrt(); ,decimal.Decimal; 
Python check if list items are integers?,str.isdigit(); ,str; 
Convert scientific notation to decimal - python,format(); ,
Wrapping text during print Python,textwrap.fill(); ,textwrap; 
python get time stamp on file in mm/dd/yyyy format,time.strftime(); ,time; 
"Python - print string to screen, include \n in output",repr(); ,
Joining byte list with python,bytes.join(); ,bytes; 
Integer array to string in Python,str.join(); ,str; 
eval to import a module,exec(); ,
How to find a value in a list of python dictionaries?,any(); ,
how to get a value out of ValuesQuerySet,filter(); ,
Python 3.3.0: How to output a variable onto a .txt file,open(); ,
how to run python script with os.fork on windows?,signal.alarm(); ,signal; 
Handing options with a comma with python's argparse,str.replace(); ,str; 
Read floats from file as numpy array without knowing the data size,numpy.fromfile(); ,numpy; 
python and email.utils - How to add CC list,smtplib.SMTP.sendmail(); ,smtplib.SMTP; 
python: How to remove punctuations from file,str.translate(); ,str; 
Convert float to string with cutting zero decimals afer point in Python,round(); ,
How to receive certain size of data in socket programming?,str.join(); ,str; 
Python equivalent of ruby's StringScanner?,re.split(); ,re; 
How to set a max length for a python list/set?,heapq.heappushpop(); ,heapq; 
How to read line (from a file) and then append + print in python?,str.rstrip(); ,str; 
how to separate view and controller in python tkinter?,struct.pack(); ,struct; 
How to check for a function type in Python?,callable(); ,
How to print out the full distribution of words in an LDA topic in gensim?,len(); ,
How to limit download rate of HTTP requests in requests python library?,socket.socket.send(); ,socket.socket; 
Check a log file every 15 minutes with Python,time.sleep(); ,time; 
Iterate over array twice (cartesian product) but consider only half the elements,itertools.combinations(); ,itertools; 
How to delete everything after a certain character in a string?,str.len(); ,str; 
Converting Tuple to Hex with unknown type,struct.unpack(); ,struct; 
replace the NaN value zero after an operation with arrays,math.isnan(); ,math; 
Sum element by element list of lists python,numpy.sum(); ,numpy; 
How can I get a loop to ignore non-letter elements in a list?,str.isalpha(); ,str; 
Filtering Characters from a String,str.translate(); ,str; 
"using regexp, how to find strings containing only uppercase or lowercase",str.upper(); ,str; 
"python dict, find value closest to x",min(); ,
Python dict to string,str.join(); ,str; 
How to reset some function variables in Python in a loop,globals(); ,
requests: disable auto decoding,requests.get(); ,requests; 
How to split a string in Python?,numpy.partition(); ,numpy; 
Splitting characters from a text file in Python,str.rstrip(); ,str; 
Elegant way to remove items from sequence in Python?,filter(); ,
Python Multiprocessing Kill Processes,multiprocessing.Process.join(); ,multiprocessing.Process; 
Display icons in Django admin for each item,django.contrib.sitemaps.views.index(); ,django.contrib.sitemaps.views; 
How to remove all spaces in the strings in list,str.strip(); ,str; 
Convert string to datetime.time object,datetime.datetime.strptime(); ,datetime.datetime; 
Convert list of lists to list of integers,sorted(); ,
how to break out of only one nested loop,seek(); ,
Draw line with matplotlib (timeseries),zip(); ,
Split function add: \xef\xbb\xbf...\n to my list,str.strip(); ,str; 
Recognizing newline characters in Python,repr(); ,
how to split a unicode string into list,str.split(); ,str; 
how to 'index' a named tuple,next(); ,
"In dictionary where keys are numbers, how to find key which is smaller but the most near to given number?",max(); ,
CSV to JSON script,json.dumps(); ,json; 
File stores contents in one line but how to store it line by line.?,str.join(); ,str; 
Parsing JSON in Python and AngularJS,json.loads(); ,json; 
python re find string that may contain brackets,re.escape(); ,re; 
How do I add rows and columns to a NUMPY array?,numpy.concatenate(); ,numpy; 
Efficient Dictionary Searching?,dict.keys(); ,dict; 
double quote escaping in os.system on windows,os.system(); ,os; 
Python date formatting without space?,datetime.date.strftime(); ,datetime.date; 
Convert string / character to integer in python,chr(); ,
Python getting the last part after spliting with a dot,str.rsplit(); ,str; 
Python- Quickselect function finding the median,time.time(); ,time; 
Double Summation in Python,numpy.mean(); ,numpy; 
how to kill zombie processes created by multiprocessing module?,multiprocessing.Process.is_alive(); ,multiprocessing.Process; 
How do I find directory of the Python running script from inside the script?,os.path.dirname(); ,os.path; 
python xml processing - how to loop through all elements?,io.open(); ,io; 
ConfigParser reads capital keys and make them lower case,configparser.ConfigParser.optionxform(); ,configparser.ConfigParser; 
The right way to limit maximum number of threads running at once?,multiprocessing.Process.join(); ,multiprocessing.Process; 
Constructing a Python set from a Numpy matrix,numpy.ravel(); ,numpy; 
"Python Converts integer into a bit number of specific length, fast",bin(); ,
Encoding list of objects as JSON object,json.JSONEncoder.default(); ,json.JSONEncoder; 
How to stream XML output quickly from Python,lxml(); ,
How can I get python logging.debug() messages to output to standard output?,logging.basicConfig(); ,logging; 
making a 3d python array from three 1d arrays,zip(); ,
Dynamically changing log level without restarting the application,logging.Logger.setLevel(); ,logging.Logger; 
"generating a string from a list or dictionary, how to treat first element differently?",str.join(); ,str; 
multiplication of two arguments in python,operator.mul(); ,operator; 
Simplest way of checking for string that contains a string in list?,any(); ,
How to read raw bytes from socket in Python?,ord(); ,
"Django, grouping query items",itertools.groupby(); ,itertools; 
Determining if root logger is set to DEBUG level in Python?,logging.getLogger(); ,logging; 
Fast way to read filename from directory?,os.listdir(); ,os; 
Convert a string equation to an integer answer,eval(); ,
Calculate Daily Returns with Pandas DataFrame,pandas.DataFrame.shift(); ,pandas.DataFrame; 
Python - How to put sqlite result into a list,dict.keys(); ,dict; 
Removing index column in pandas when reading a csv,pandas.DataFrame.reset_index(); ,pandas.DataFrame; 
Turn Pandas Multi-Index into column,pandas.DataFrame.reset_index(); ,pandas.DataFrame; 
Python string encoding for a variable,codecs.encode(); ,codecs; 
Find value of scrabble word,sum(); ,
"How can I get the traceback object ( sys.exc_info()[2] , same as sys.exc_traceback ) as a string?",traceback.format_tb(); ,traceback; 
Python: Sort 2-Dimensional Array by Array length?,sorted(); ,
Looking for a way to preprocess string features,hash(); ,
How to run a subprocess in the background python,multiprocessing.Process.terminate(); ,multiprocessing.Process; 
Printing within list comprehension in Python,print(); ,
Setting objects coordinates in tkinter,numpy.place(); ,numpy; 
How to simplify multiple conditions in Python,any(); ,
split and strip elements in list python,str.split(); ,str; 
Use python to reproduce bash command 'ls -a' output,os.listdir(); ,os; 
How to write to file without parenthesis in python,map(); ,
Case Insensitive Python string split() method,str.find(); ,str; 
How to store bash shell script in the JSON document effectively for Python script,repr(); ,
How to get the path of the function call in Python?,django.contrib.admin.autodiscover(); ,django.contrib.admin; 
python datetime localization,locale.setlocale(); ,locale; 
Python: Untar a single folder from a tarball,tarfile.TarFile.getnames(); ,tarfile.TarFile; 
Adding offset to x y axes in matplotlib,ax.set_yargmin(); ,ax; 
trapping a MySql warning,warnings.filterwarnings(); ,warnings; 
How to exclude rows/columns from numpy.ndarray data,numpy.delete(); ,numpy; 
How do I find the mode of a list or tuple without the frequency?,collections.Counter.most_common(); ,collections.Counter; 
How to check if a range of numbers supplied exist in a list? - Python,any(); ,
Re-open files in Python?,io.IOBase.seek(); ,io.IOBase; 
How can one assert in Django that a model field has already been populated from the DB?,hasattr(); ,
Writing text from BeautifulSoup to file,codecs.encode(); ,codecs; 
python function to convert camel case to snake case,re.sub(); ,re; 
python text to hex and searching hex data or convert everything to binary,binascii.unhexlify(); ,binascii; 
How to create a numpy array of all True or all False?,numpy.ones(); ,numpy; 
How do I allow more simultaneous socket connections?,socket.socket.listen(); ,socket.socket; 
Python importing only modules within package,os.path.abspath(); ,os.path; 
Copy 'N' lines from one file to another in python?,str.join(); ,str; 
How to pass list of sets as separate arguments into function?,pandas.Index.intersection(); ,pandas.Index; 
Read last n lines of file (tail) without reading it line-by-line?,io.TextIOBase.seek(); ,io.TextIOBase; 
Shortest way to replace parts of strings in NumPy array,map(); ,
Python: How to check if path is a subpath,str.startswith(); ,str; 
How do I perform low level I/O on a Linux device file in Python?,os.read(); ,os; 
Django How to make only one query with queryset exists method?,os.path.exists(); ,os.path; 
how to find time at particular timezone from anywhere,time.gmtime(); ,time; 
Plotting histograms against classes in pandas / matplotlib,pandas.core.groupby.DataFrameGroupBy.hist(); ,pandas.core.groupby.DataFrameGroupBy; 
How can I avoid repeated indices in pandas DataFrame after concat?,pandas.concat(); ,pandas; 
Sort dictionary by the INT value of the value,iteritems(); ,
Python: Concatenate two strings for getting a variable from a class,getattr(); ,
python string split,str.startswith(); ,str; 
How to clear string in a specific coordinate range in ncurses?,curses.window.delch(); ,curses.window; 
Iterate over model instance field names and values in template,getattr(); ,
Convert 1x1 sparse matrix to scalar,numpy.dot(); ,numpy; 
Replace newlines in a Unicode string,str.splitlines(); ,str; 
Django filter objects with at least one many-to-many having attribute of value,filter(); ,
Print subprocess.call result,subprocess.check_output(); ,subprocess; 
Converting a list of lists into a list of strings - Python,map(); ,
Python convert a string to a logic operator,eval(); ,
"Open file for read/write, create if needed",os.open(); ,os; 
python tuple division,max(); ,
Instantiate a Python class from a name,vars(); ,
add text to pandas dataframe plot,ax.text(); ,ax; 
Extracting specific values from .npy file,numpy.load(); ,numpy; 
regex + Python: How to find string with '?' in it?,re.escape(); ,re; 
controlling the position of the scrollbar in Tkinter,tkinter.ttk.Treeview.see(); ,tkinter.ttk.Treeview; 
Python: manipulating bits in a char in a string,ord(); ,
"How can files be added to a tarfile with Python, without adding the directory hierarchy?",tarfile.TarFile.addfile(); ,tarfile.TarFile; 
How to initialize a dict with keys from a list and empty value in Python?,dict.fromkeys(); ,dict; 
How to print out the memory contents of object in python?,struct.pack(); ,struct; 
is there a simple way to get group names of a user in django,django.db.models.query.QuerySet.all(); ,django.db.models.query.QuerySet; 
Flipping the last bit in a byte,numpy.random.bytes(); ,numpy.random; 
Python Equivalent to System('PAUSE'),input(); ,
pandas applying regex to replace values,re.sub(); ,re; 
Pythonic way to check if a file exists?,os.path.isfile(); ,os.path; 
how to unit test a python process,multiprocessing.Pipe(); ,multiprocessing; 
how to parse iframe in lxml in python?,lxml.html.parse(); ,lxml.html; 
How to enable logging at the initialization of the module in Python?,logging.basicConfig(); ,logging; 
how to define generic variables in Python (syntax question),setattr(); ,
Pretty print JSON python,json.dump(); ,json; 
How do i update values in an SQL database? SQLite/Python,sqlite3.Cursor.execute(); ,sqlite3.Cursor; 
Python clear the screen,os.system(); ,os; 
Can I generate authentic random number with python?,os.urandom(); ,os; 
Fastest Way to Drop Duplicated Index in a Pandas DataFrame,pandas.core.groupby.GroupBy.first(); ,pandas.core.groupby.GroupBy; 
Python3: sorting a list of dictionary keys,dict.keys(); ,dict; 
Redirect stderr to stdout on exec-ed process from python?,os.dup2(); ,os; 
Python: How to create new identical list object?,list(); ,
How to use threads within a Flask route,multiprocessing.pool.Pool.map(); ,multiprocessing.pool.Pool; 
Django: Group Counts on Foreign Keys,django.db.models.query.QuerySet.values(); ,django.db.models.query.QuerySet; 
Converting a list of dicts to a Pandas dataframe,pandas.DataFrame.from_records(); ,pandas.DataFrame; 
NumPy: matrix by vector multiplication,np.multiply(); ,np; 
Convert dbus.String to normal string,locale.str(); ,locale; 
Python: Memory efficient sort of a list of tuples by two elements,sorted(); ,
Detect when threads are running in a python application?,sys._current_frames(); ,sys; 
multiply multidimensional arrays in python,numpy.dot(); ,numpy; 
"How can I convert string to ""command"" in Python?",str.lstrip(); ,str; 
"After starting process, how to get parent's PID in the child?",os.getppid(); ,os; 
numpy 2d array max/argmax,numpy.arange(); ,numpy; 
XOR Matrix Multiplication in Python,numpy.dot(); ,numpy; 
how to zip function with two arrays as a return value - Python,zip(); ,
How to check if all data are received with a TCP Socket in Python,socket.socket.recv(); ,socket.socket; 
"How might I create an acronym by splitting a string at the spaces, taking the character indexed at 0, joining it together, and capitalizing it?",str.split(); ,str; 
Python shared string memory for multiprocessing,multiprocessing.Array(); ,multiprocessing; 
Can I somehow select a specific element from dropdown list on the page via splinter module in Python,select.select(); ,select; 
