Query,APIs,APIClasses
Replace sequence of characters in java,java.lang.String.replace(); ,java.lang.String; 
"Java, Swing, getting and changing all input fields",java.util.List.get(); javax.swing.JTextField.setText(); ,java.util.List; javax.swing.JTextField; 
Is there a function to cast string tokenizer to array,java.lang.String.split(); ,java.lang.String; 
How can I get the description of ResponseCode of HttpURLConnection?,java.net.HttpURLConnection.getResponseMessage(); ,java.net.HttpURLConnection; 
How to start RMI Registry through java code?,java.rmi.registry.LocateRegistry.createRegistry(); ,java.rmi.registry.LocateRegistry; 
Including a text file inside a jar file and reading it,java.lang.Class.getResourceAsStream(); ,java.lang.Class; 
Access images inside jar,java.lang.Class.getResource(); ,java.lang.Class; 
JFreeChart loading an array into dataset,org.jfree.data.general.DefaultPieDataset.setValue(); ,org.jfree.data.general.DefaultPieDataset; 
Synchronize access to resources in Java (Spring MVC),java.util.Map.putIfAbsent(); ,java.util.Map; 
How to get the colour of a applet viewer pixel in Java?,java.awt.image.BufferedImage.getRGB(); ,java.awt.image.BufferedImage; 
Open another swing gui after clicking a button in another swing gui,java.awt.Dialog.setVisible(); ,java.awt.Dialog; 
"Java: How to read ""Files of type"" in JFileChooser",javax.swing.JFileChooser.getFileFilter(); ,javax.swing.JFileChooser; 
resize a byte array in android,java.lang.System.arraycopy(); ,java.lang.System; 
Accessing a Java Resource as a File,java.io.File.createTempFile(); ,java.io.File; 
Set log4j log level,org.slf4j.Logger.getRootLogger().setLevel(); ,org.slf4j.Logger.getRootLogger(); 
Send HTTP request manually via socket,java.io.PrintWriter.println(); ,java.io.PrintWriter; 
Generate Unique Id for client server authentication,java.util.UUID.randomUUID(); ,java.util.UUID; 
How can I get the current stack trace in Java?,java.lang.Thread.getStackTrace(); ,java.lang.Thread; 
How to dynamically load a jar with common abstract Class?,java.lang.Class.getClassLoader(); ,java.lang.Class; 
how to add progress bar to zip utility while zipping or extracting in java?,javax.swing.SwingWorker.setProgress(); ,javax.swing.SwingWorker; 
Parse String to Double.NaN,java.lang.Double.valueOf(); ,java.lang.Double; 
Convert PrintStream to PrintWriter,java.io.PrintWriter.PrintWriter(); ,java.io.PrintWriter; 
How to implement an eclipse VM argument in code,java.lang.System.setProperty(); ,java.lang.System; 
How to get parent for JDialog from JPanel,javax.swing.JComponent.getParent(); ,javax.swing.JComponent; 
Recursively search for a directory in Java,java.io.File.listFiles(); ,java.io.File; 
Java equivalent to php die,java.lang.System.exit(); ,java.lang.System; 
How to dynamically show columns in a Jasper Report?,net.sf.jasperreports.engine.JasperFillManager.fillReport(); ,net.sf.jasperreports.engine.JasperFillManager; 
"In java, how do you retrieve images from a jar file?",java.lang.Class.getResource(); ,java.lang.Class; 
getting keytyped from the keycode,java.awt.event.KeyEvent.getKeyText(); ,java.awt.event.KeyEvent; 
How to replace first occurrence of string in Java,java.lang.String.replaceFirst(); ,java.lang.String; 
Get selected rows of a table with SWT.MULTI,org.eclipse.swt.widgets.Table.getSelection(); ,org.eclipse.swt.widgets.Table; 
How to disable arrow keys for JSliders?,java.awt.Component.setFocusable(); ,java.awt.Component; 
Cant write string in new line,java.io.BufferedWriter.write(); ,java.io.BufferedWriter; 
Android/Java: Convert any string to color (hex),java.lang.String.hashCode(); ,java.lang.String; 
Set System Property for JUnit Runner (Eclipse) to test a Spring Web App,java.lang.System.setProperty(); ,java.lang.System; 
How to handle an InterruptedException,java.lang.Thread.interrupt(); ,java.lang.Thread; 
Read attributes passed with href tag in JNLP,javax.servlet.ServletRequest.getParameter(); ,javax.servlet.ServletRequest; 
Comparing two strings in Java,java.lang.String.equals(); ,java.lang.String; 
Swing- close whole application when a dialog is cancelled,javax.swing.JFrame.dispatchEvent(); ,javax.swing.JFrame; 
"parse text file in java, how to remove """"",java.lang.String.replaceAll(); ,java.lang.String; 
Check if one date is exactly 24 hours or more after another,java.util.concurrent.TimeUnit.toMillis(); ,java.util.concurrent.TimeUnit; 
How to restart currently executing jar in java,java.lang.Runtime.exec(); ,java.lang.Runtime; 
How to print/log array of string in java?,java.util.Arrays.toString(); ,java.util.Arrays; 
Loading files with ClassLoader,java.lang.ClassLoader.getResource(); ,java.lang.ClassLoader; 
How to check if FileObject is folder?,org.apache.commons.vfs2.FileObject.getType(); ,org.apache.commons.vfs2.FileObject; 
Remove all other trailing whitespace characters except tab in Java,java.lang.String.replaceAll(); ,java.lang.String; 
Getting the value of an object that is a collection,java.util.Collection.iterator(); ,java.util.Collection; 
how to make multiple line string to single line string?,java.lang.String.replaceAll(); ,java.lang.String; 
"Calculating 'weight' of an object, howto",java.lang.instrument.Instrumentation.getObjectSize(); ,java.lang.instrument.Instrumentation; 
How to shutdown java application correctly from C# one,java.lang.System.exit(); ,java.lang.System; 
Is there a class that exposes an unbuffered readLine method in Java?,java.io.DataInputStream.readLine(); java.io.BufferedInputStream.readLine(); ,java.io.DataInputStream; java.io.BufferedInputStream; 
How to remove trailing character(s) from a string,java.lang.String.replaceAll(); ,java.lang.String; 
How to measure time of Algorithm,java.lang.System.nanoTime(); ,java.lang.System; 
How to remove last element for a Singly Linked list in O(1)?,java.util.LinkedList.removeLast(); ,java.util.LinkedList; 
Android: Showing indeterminate progress bar in TabHost activity,android.app.Activity.getParent().setProgressBarIndeterminateVisibility(); ,android.app.Activity.getParent(); 
How should resources in a compiled jar be accessed?,java.lang.Class.getResourceAsStream(); ,java.lang.Class; 
How can I convert a stack trace to a string?,getStackTrace(); org.apache.commons.lang.exception.ExceptionUtils.getStackTrace(); ,; org.apache.commons.lang.exception.ExceptionUtils; 
"Replace ""\\"" with ""/"" in Java",java.lang.String.replace(); ,java.lang.String; 
How can I make a dynamic JTabbedPane?,javax.swing.JTabbedPane.addTab(); ,javax.swing.JTabbedPane; 
get possible instance/type of object,java.lang.Object.getClass(); ,java.lang.Object; 
Java getting file extension without substring,org.apache.commons.io.FilenameUtils.getExtension(); ,org.apache.commons.io.FilenameUtils; 
How do you send sms with android sdk,android.telephony.SmsManager.getDefault(); ,android.telephony.SmsManager; 
How do I get java to exit when piped to head,java.io.FileInputStream.FileInputStream(); ,java.io.FileInputStream; 
How to get the present dimension of a JFrame during run time,getSize(); javax.swing.JFrame.getSize(); ,; javax.swing.JFrame; 
Shiro 'Any' Permission Instance,org.apache.shiro.SecurityUtils.getPrincipal().isPermitted(); ,org.apache.shiro.SecurityUtils.getPrincipal(); 
"String, byte[] and compression",java.lang.String.String(); java.lang.String.getBytes(); ,java.lang.String; 
How do you add a Soap Header defined in a wsdl to a web service client in CXF?,org.apache.cxf.frontend.ClientProxy.getClient(port).getRequestContext().put(); ,org.apache.cxf.frontend.ClientProxy.getClient(port).getRequestContext(); 
How to change/edit a JPanel object at startup/init,javax.swing.JComponent.getGraphics(); ,javax.swing.JComponent; 
How to play a set of frequencies (Chords) at the same time with javax.sound.sampled package,idk; ,; 
How to replace two double quotes with a single double quote in Java String?,java.lang.String.replace(); ,java.lang.String; 
how to set various row heights for a one JTable,javax.swing.JTable.setRowHeight(); ,javax.swing.JTable; 
How do I create a RSA key pair so that it can be stored in a database?,java.security.KeyPairGenerator.genKeyPair(); ,java.security.KeyPairGenerator; 
Check if current date and time falls within a date range excluding weekends,java.time.LocalDate.getDayOfWeek(); ,java.time.LocalDate; 
How to parse number string containing commas into an integer in java?,java.text.DateFormat.getNumberInstance().parse(); ,java.text.DateFormat.getNumberInstance(); 
Use a absolute layout inside a JScrollPane,java.awt.Container.setLayout(); ,java.awt.Container; 
Java - Convert Image to Icon/ImageIcon?,javax.swing.ImageIcon.ImageIcon(); ,javax.swing.ImageIcon; 
Detecting if a key (CTRL) is currently pressed without a KeyEvent in Java,java.awt.event.InputEvent.getModifiers(); ,java.awt.event.InputEvent; 
converting hashmap to stringarray,java.util.Collection.toArray(); ,java.util.Collection; 
How to call c++ functionality from java,java.lang.Runtime.exec(); ,java.lang.Runtime; 
Removing spaces at the end of a string in java,java.lang.String.replaceAll(); ,java.lang.String; 
How to change Background Color in definite table cell,java.awt.Component.setBackground(); ,java.awt.Component; 
Unique ID Generation in java,java.math.BigInteger.BigInteger(); ,java.math.BigInteger; 
How to track origin of a thread from pools?,java.lang.Thread.start(); ,java.lang.Thread; 
Caching JTable rows,javax.swing.SwingWorker.SwingWorker(); ,javax.swing.SwingWorker; 
get timestamp without reinstantiating the calendar and timestamp,java.lang.System.currentTimeMillis(); ,java.lang.System; 
Cascade deletion of embeddable objects' collection,org.hibernate.Session.delete(); ,org.hibernate.Session; 
set visibility of specific tabs in JTabbedPane,javax.swing.JTabbedPane.getTabComponentAt(); ,javax.swing.JTabbedPane; 
How to find location of JTree node on screen,javax.swing.JTree.getPathBounds(); ,javax.swing.JTree; 
Read an int[] from a DataInputStream,java.io.DataInputStream.readInt(); ,java.io.DataInputStream; 
How do I add components to a JPanel at runtime,validate(); javax.swing.JPanel.validate(); ,; javax.swing.JPanel; 
Android: How to write newline in CSV file?,java.io.PrintWriter.print(); ,java.io.PrintWriter; 
How to parse hex color String to Integer,java.lang.Long.decode(); ,java.lang.Long; 
How to check if part of a string equals another string in android,java.lang.String.contains(); ,java.lang.String; 
benefit of having a treeset over a manually sorted set,java.util.Collections.sort(); ,java.util.Collections; 
How to use Java Swing Actions to create menu items and toolbar items in Netbeans,javax.swing.JComboBox.setAction(); ,javax.swing.JComboBox; 
How can I split out individual column values from each line in a text file?,java.lang.String.split(); ,java.lang.String; 
Setting the certificate used by a Java SSL ServerSocket,java.lang.System.setProperties(); ,java.lang.System; 
Tokenising a String containing empty tokens,java.lang.String.split(); ,java.lang.String; 
TextUtils.join on integer ArrayList,android.text.TextUtils.join(); ,android.text.TextUtils; 
How to get the component that invoked a JPopupMenu?,javax.swing.JPopupMenu.getInvoker(); ,javax.swing.JPopupMenu; 
How to execute perl script from java in ubuntu,java.lang.Runtime.exec(); ,java.lang.Runtime; 
"Extending HashMap<K,V> and synchronizing only puts",java.util.Map.get(); ,java.util.Map; 
Convert MP3 to PCM in Java,javax.sound.sampled.AudioSystem.getAudioInputStream(); ,javax.sound.sampled.AudioSystem; 
json to xml java,java.io.ByteArrayInputStream.ByteArrayInputStream(); ,java.io.ByteArrayInputStream; 
How can I decode chinese,java.lang.Character.toChars(); ,java.lang.Character; 
"Floating point precision: JDBC, double and DECIMAL, how to avoid loss?",java.sql.ResultSet.getBigDecimal(); ,java.sql.ResultSet; 
Accessing Image pixel by pixel in Java,java.awt.image.BufferedImage.getRGB(); ,java.awt.image.BufferedImage; 
Insert UTC/GMT date in Oracle database with Java and Spring,java.sql.PreparedStatement.setDate(); ,java.sql.PreparedStatement; 
"In Java, is there something like ""DoEvents"" from VB6",java.lang.Thread.yield(); ,java.lang.Thread; 
How to get multiple regex matches in Java?,java.util.regex.Matcher.find(); ,java.util.regex.Matcher; 
"updating JLabel image, dynamic via selection",javax.swing.JLabel.setIcon(); ,javax.swing.JLabel; 
Best practice to validate null and empty collection in Java,org.apache.commons.collections4.CollectionUtils.isEmpty(); org.apache.commons.collections4.MapUtils.isEmpty(); ,org.apache.commons.collections4.CollectionUtils; org.apache.commons.collections4.MapUtils; 
Fetching a resource in Java main method,java.lang.Class.getResourceAsStream(); ,java.lang.Class; 
Converting Message from RabbitMQ into string/json,com.rabbitmq.client.Message.getBody(); ,com.rabbitmq.client.Message; 
pass object to Arraylist,java.lang.System.arraycopy(); ,java.lang.System; 
Formatting output in Java,java.lang.String.format(); ,java.lang.String; 
How to select an element in the ListViewer,org.eclipse.jface.viewers.StructuredViewer.setSelection(); ,org.eclipse.jface.viewers.StructuredViewer; 
Receive and print string array object over socket,java.io.ObjectInputStream.readObject(); ,java.io.ObjectInputStream; 
converting array of strings to ArrayList<String>,java.util.Arrays.asList(); ,java.util.Arrays; 
Remove default padding in JTextPane on Windows,javax.swing.text.JTextComponent.getMargin(); ,javax.swing.text.JTextComponent; 
How do I populate a JComboBox with an ArrayList?,java.util.List.toArray(); ,java.util.List; 
Java ArrayList how to add elements at the beginning,java.util.List.add(); ,java.util.List; 
How to convert float to int with Java,java.lang.Math.round(); ,java.lang.Math; 
Creating subset of a Set in Java,com.google.common.collect.ImmutableSet.copyOf(); ,com.google.common.collect.ImmutableSet; 
how to check SSL certificate expiration date programmatically in Java,java.security.cert.X509Certificate.getNotAfter(); ,java.security.cert.X509Certificate; 
Executing Linux Command in Java,java.lang.Runtime.exec(); ,java.lang.Runtime; 
Java ServerSocket connection limit?,java.net.ServerSocket(); ,java.net; 
Java: How to get values from console input easily,java.io.BufferedReader.readLine(); java.lang.String.split(); ,java.io.BufferedReader; java.lang.String; 
How to override fillOval function in Java?,java.awt.Graphics2D.fill(); java.awt.RenderingHints; ,java.awt.Graphics2D; java.awt; 
Adding multiple files with JFileChooser,javax.swing.JFileChooser.setMultiSelectionEnabled(); ,javax.swing.JFileChooser; 
Splitting string on multiple spaces in java,java.lang.String.split(); ,java.lang.String; 
Java: How to parse a date strictly?,java.text.DateFormat.setLenient(); ,java.text.DateFormat; 
How to find out whether an entity is detached in JPA / Hibernate?,javax.persistence.EntityManager.contains(); ,javax.persistence.EntityManager; 
Parsing Java String into GMT Date,java.text.DateFormat.formate(); ,java.text.DateFormat; 
Java execute a program in java program for mac,java.lang.Runtime.exec(); ,java.lang.Runtime; 
Java BigDecimal remove decimal and trailing numbers,java.math.BigDecimal.toBigInteger(); ,java.math.BigDecimal; 
"Java replace method, replacing with empty character",java.lang.String.replace(); ,java.lang.String; 
Read xml in java - all nodes and data sort,org.w3c.dom.Document.getChildNodes(); ,org.w3c.dom.Document; 
How do I store time in a variable?,java.util.Calendar.getInstance(); ,java.util.Calendar; 
Fast sqrt in Java at the expense of accuracy,java.lang.Math.sqrt(); ,java.lang.Math; 
Getting data of a direct buffer object returned from JNI method to Java?,java.nio.ByteBuffer.order(); ,java.nio.ByteBuffer; 
Listing files in the order in which they were created in folder,java.io.File.listFiles(); ,java.io.File; 
"Resolve a path name with .. parent directory specifiers (""dot dot"") without resolving symlinks",org.apache.commons.io.FilenameUtils.normalize(); ,org.apache.commons.io.FilenameUtils; 
Setting the SWT Button to pressed state programmatically?,Button.setSelection(); ,Button; 
Java Scanner with URLConnection,java.util.Scanner.Scanner(); ,java.util.Scanner; 
"Is there a Java / Android equivalent to the iOS function ""componentsJoinedByString"" for an NSArray?",java.lang.String.join(); ,java.lang.String; 
StringTokenizer for split space,java.lang.String.split(); ,java.lang.String; 
How can I get the 5th root in Java?,java.lang.Math.pow(); ,java.lang.Math; 
Recording/Playback Gesture in Android,android.gesture.Gesture.toPath(); ,android.gesture.Gesture; 
Make a SurfaceView transparent without setZOrderOnTop(true),android.view.SurfaceView.setZOrderOnTop(); ,android.view.SurfaceView; 
"How to get the EXACT middle of a screen, even when re-sized",java.awt.Window.setLocationRelativeTo(); ,java.awt.Window; 
Cast smallint unsigned in Java,java.lang.UShort.intValue(); ,java.lang.UShort; 
Check if a type is an interface,java.lang.Class.isInterface(); ,java.lang.Class; 
How to execute VBS script in Java?,java.lang.Runtime.exec(); ,java.lang.Runtime; 
Making Thread sleep for random amount of MS,java.lang.Thread.sleep(); ,java.lang.Thread; 
Java - stopping all tasks in ExecutorService,java.lang.Thread.isInterrupted(); ,java.lang.Thread; 
Convert BufferedImage to ImageIcon,javax.swing.ImageIcon.ImageIcon(); ,javax.swing.ImageIcon; 
Spring application showing server time instead of client time,java.text.SimpleDateFormat(); ,java.text; 
Split a String on | (pipe) in Java,java.util.regex.Pattern.quote(); ,java.util.regex.Pattern; 
Changing the colour of JComboBox selected item permanantly,list.getModel(); JList.ListSelectionModel(); ,list; JList; 
How to read the list of files/folders on a shared location?,java.io.File.list(); ,java.io.File; 
Running a bash shell script in java,java.lang.Runtime.exec(); java.lang.Process.waitFor(); java.lang.ProcessBuilder.ProcessBuilder.start(); ,java.lang.Runtime; java.lang.Process; java.lang.ProcessBuilder.ProcessBuilder; 
Split a String by another string,java.lang.String.split(); ,java.lang.String; 
How do I put only unique values into an array?,java.util.Set.toArray(); ,java.util.Set; 
sort specific index in array in descending order,java.util.Arrays.sort(); Collections.reverseOrder(); ,java.util.Arrays; Collections; 
How to extract a string between two delimiters,java.lang.String.substring(); ,java.lang.String; 
Java/Android absolute fastest way to periodically get current seconds (0-59) and/or milliseconds (0-999),java.lang.System.currentTimeMillis(); ,java.lang.System; 
Java - Convert hex to decimal - make a string = the correct number,java.lang.Integer.parseInt(); ,java.lang.Integer; 
how to get button name on click event in java,javafx.event.ActionEvent.getSource(); ,javafx.event.ActionEvent; 
How can I generate a random 15 digit-long in java,java.util.Random.nextLong(); ,java.util.Random; 
Write File without deleting older data,java.io.FileWriter.FileWriter(); ,java.io.FileWriter; 
Remove all occurrences of \ from string,java.lang.String.replaceAll(); ,java.lang.String; 
How to acquire the source from a MuleEvent?,org.mule.api.MuleEvent.getMessage().getPayload(); ,org.mule.api.MuleEvent.getMessage(); 
How to get an EXACT Character in a CharSequence?,java.lang.CharSequence.charAt(); ,java.lang.CharSequence; 
Converting string to float in Java without round it,java.lang.Double.parseDouble(); ,java.lang.Double; 
Size of extended jframe?,java.awt.Component.getSize().getWidth(); ,java.awt.Component.getSize(); 
How to get a Date object from String,java.sql.Date.toString(); ,java.sql.Date; 
Float returning exponential notation,java.lang.String.format(); ,java.lang.String; 
Java Swing Focus on Tab key,java.awt.Component.setFocusable(); ,java.awt.Component; 
Most efficient way to convert java.lang.Long to primitive int,java.lang.Long.intValue(); ,java.lang.Long; 
Waiting for a short period of time in EJB 3.0,java.lang.Thread.sleep(); ,java.lang.Thread; 
android reading from a file,java.lang.StringBuilder.append(); ,java.lang.StringBuilder; 
Java: Set timeout for threads in a ThreadPool,java.util.concurrent.ExecutorService.invokeAll(); ,java.util.concurrent.ExecutorService; 
Determine Java version through JMX,java.lang.management.RuntimeMXBean.getSystemProperties(); ,java.lang.management.RuntimeMXBean; 
How do you set a focus on Textfield in Swing?,java.awt.Component.requestFocus(); ,java.awt.Component; 
How to deal with derived color in Nimbus Look and Feel?,javax.swing.plaf.nimbus.TextAreaPainter(); ,javax.swing.plaf.nimbus; 
How can I sort a string with integers in Java?,java.lang.String.compareTo(); ,java.lang.String; 
"Array of buttons, make only one button change its text when clicked",javax.swing.AbstractButton.setText(); ,javax.swing.AbstractButton; 
How do I get the default font for Swing JTabbedPane labels?,javax.swing.UIManager.getDefaults(); ,javax.swing.UIManager; 
Matching words with spaces regex in java,java.lang.String.matches(); ,java.lang.String; 
How to get the enclosing method node with JDT?,org.eclipse.jdt.internal.corext.dom.ASTNodes.getParent(); ,org.eclipse.jdt.internal.corext.dom.ASTNodes; 
Get total size of file in bytes,java.io.File.length(); ,java.io.File; 
Printing unique object identity for debugging purposes in Java,java.lang.System.identityHashCode(); ,java.lang.System; 
Check if an ArrayList contains every element from another ArrayList (or Collection),java.util.Collection.containsAll(); ,java.util.Collection; 
Move the first element of a list to the end,java.util.Collections.rotate(); ,java.util.Collections; 
"Passing environment variables to a JVM, in a platform-independent manner",java.lang.System.getenv(); ,java.lang.System; 
Get the interface name from the implementation class,java.lang.Class.getInterfaces(); java.lang.Class.getSimpleName(); ,java.lang.Class; 
java - check whether a string contains any characters other than spaces,java.lang.String.trim(); ,java.lang.String; 
Java Scanner class reading strings,java.util.Scanner.nextLine(); ,java.util.Scanner; 
How can I detect whether a Mac has a Retina display from Java?,java.awt.Toolkit.getDesktopProperty(); ,java.awt.Toolkit; 
Java jtable allow row selection,javax.swing.JTable.setRowSelectionAllowed(); ,javax.swing.JTable; 
How to display Indian Numbering format in iReport?,com.ibm.icu.text.NumberFormat.getCurrencyInstance().format(); ,com.ibm.icu.text.NumberFormat.getCurrencyInstance(); 
How to change default/start value of JSlider,javax.swing.JSlider.setValue(); ,javax.swing.JSlider; 
Java create array from generic runtime type of another array,getClass().getComponentType().getComponentType(); ,getClass().getComponentType(); 
"Java: basic plotting, drawing a point/dot/pixel",java.awt.image.BufferedImage.setRGB(); ,java.awt.image.BufferedImage; 
read time from text file in java,org.joda.time.format.DateTimeFormatter.parseLocalTime(); ,org.joda.time.format.DateTimeFormatter; 
Getting value from JTable as Integer?,java.lang.Integer.parseInt(); ,java.lang.Integer; 
How do I generate a 160 bit prime number in java?,java.math.BigInteger.probablePrime(); ,java.math.BigInteger; 
Clearing a group of radio buttons in Java,javax.swing.ButtonGroup.clearSelection(); ,javax.swing.ButtonGroup; 
Moving a row in jTable,javax.swing.table.DefaultTableModel.moveRow(); ,javax.swing.table.DefaultTableModel; 
Multicast server receive the same data it sends,java.net.MulticastSocket.setLoopbackMode(); ,java.net.MulticastSocket; 
Fill rectangle with image in Java,java.awt.Graphics.drawImage(); ,java.awt.Graphics; 
Capitalise first letter in String,java.lang.String.toLowerCase(); ,java.lang.String; 
Substring of a link String,java.lang.String.indexOf(); ,java.lang.String; 
Get jSON Response for POST,org.apache.http.util.EntityUtils.toString(); ,org.apache.http.util.EntityUtils; 
How to give a refresh equal to Ctrl+ R in gwt web app?,com.google.gwt.user.client.Window.Location.reload(); ,com.google.gwt.user.client.Window.Location; 
how to detect last running thread in java,java.lang.Thread.join(); ,java.lang.Thread; 
Get Primary Key and Foreign Key constraint,java.sql.DatabaseMetaData.getIndexInfo(); ,java.sql.DatabaseMetaData; 
How to copy(memory) array in java?,java.util.ArrayList.clone(); ,java.util.ArrayList; 
"Where to put a text file in Grails, and how to get the path",java.lang.ClassLoader.getResourceAsStream(); ,java.lang.ClassLoader; 
Show prompt before closing JFrame,javax.swing.JFrame.setDefaultCloseOperation(); ,javax.swing.JFrame; 
How do I receive input from a textbox in a JFrame?,JTextField.getText(); ,JTextField; 
Input stream reader- read method return wrong value,parseInt; java.lang.Integer.parseInt(); ,; java.lang.Integer; 
Remove first white space in Java,java.lang.String.trim(); ,java.lang.String; 
Java delete files of certain size,java.io.File.listFiles(); java.io.FileFilter.accept(); ,java.io.File; java.io.FileFilter; 
Finding duplicate words within a string regex C/W,java.lang.String.matches(); ,java.lang.String; 
How to Instantiate Joda DateTime from TimeZone String ID and Epoch,java.lang.System.currentTimeMillis(); ,java.lang.System; 
Adding a background image to a JPanel,javax.imageio.ImageIO.read(); ,javax.imageio.ImageIO; 
Create a .eml (email) file in Java,javax.mail.Message.writeTo(); ,javax.mail.Message; 
compare two numeric String values,java.lang.Integer.parseInt(); ,java.lang.Integer; 
Resolving ip-address of a hostname,java.net.InetAddress.getHostAddress(); ,java.net.InetAddress; 
Best practice for setting focus to a Swing control in a JPanel,javax.swing.JComponent.requestFocusInWindow(); ,javax.swing.JComponent; 
Getting full path from an HTTP request,javax.xml.ws.spi.http.HttpExchange.getRequestURI(); ,javax.xml.ws.spi.http.HttpExchange; 
Java DOM How to check if node exists in XML,org.w3c.dom.Element.getElementsByTagName(); ,org.w3c.dom.Element; 
Calculating Skewness and kurtosis with apache commons,org.apache.commons.math3.stat.descriptive.moment.Kurtosis.evaluate(); ,org.apache.commons.math3.stat.descriptive.moment.Kurtosis; 
How to get simple classname from class with interface reference?,java.lang.Class.getSimpleName(); ,java.lang.Class; 
"How to expand JTree nodes (in advance), but keep them invisible",javax.swing.JTree.addTreeExpansionListener(); ,javax.swing.JTree; 
Create a File in a Protected Folder,javax.swing.filechooser.FileSystemView.getHomeDirectory(); ,javax.swing.filechooser.FileSystemView; 
Get absolute file path via Java applet or flash,javax.swing.JFileChooser.getSelectedFile(); ,javax.swing.JFileChooser; 
Is it possible to write soap message to a xml file?,javax.xml.soap.SOAPMessage.writeTo(); ,javax.xml.soap.SOAPMessage; 
data type to represent a big decimal in java,BigDecimal(); ,; 
Find and kill a specific Java process from another Java App,java.lang.Runtime.exec(); ,java.lang.Runtime; 
How to copy from a string to another string in Java?,java.lang.String.substring(); ,java.lang.String; 
Android Get the Background Ressource of an ImageButton,android.view.View.getBackground(); ,android.view.View; 
How to handle path to resource in maven project packed to jar,java.lang.Class.getResourceAsStream(); ,java.lang.Class; 
Java : split a string that containing special characters,java.lang.String.split(); ,java.lang.String; 
Split a string in Java with blank removed,java.lang.String.split(); ,java.lang.String; 
printing the address of the string instances,java.lang.String.hashCode(); java.lang.Integer.toHexString(); java.lang.System.out.println(); ,java.lang.String; java.lang.Integer; java.lang.System.out; 
Add listener to all objects in a JPanel,java.awt.Container.getComponents(); ,java.awt.Container; 
Hibernate criteria group by date without time,org.hibernate.criterion.sqlGroupProjection(); ,org.hibernate.criterion; 
how to use setLocation to move componets,javax.swing.JFrame.setLocation(); ,javax.swing.JFrame; 
TreeCellRenderer: how to set background color?,setOpaque(); javax.swing.tree.TreeCellRenderer.setOpaque(); ,; javax.swing.tree.TreeCellRenderer; 
Managing JInternalFrames in a Swing MDI,javax.swing.JInternalFrame.setSelected(); ,javax.swing.JInternalFrame; 
Read an array of ints at once from RandomAccessFile,java.nio.ByteBuffer.wrap(); ,java.nio.ByteBuffer; 
JButton only appears after mouse rolls over it,javax.swing.JComponent.paintComponent(); ,javax.swing.JComponent; 
How to handle synchronization of frequent concurrent read/writes on a Java ArrayList,java.util.Collections.synchronizedList(); ,java.util.Collections; 
converting a calendar date to a string?,java.text.SimpleDateFormat.SimpleDateFormat(); ,java.text.SimpleDateFormat; 
Checking whether all tasks in ThreadPoolExecutor are completed,java.util.concurrent.ThreadPoolExecutor.getActiveCount(); ,java.util.concurrent.ThreadPoolExecutor; 
hibernate: create table with names in lowercase,java.lang.String.toLowerCase(); ,java.lang.String; 
Accessing properties of subclasses and superclasses in java with reflection,java.lang.Class.getDeclaredFields(); ,java.lang.Class; 
How to search for a special character in java string?,java.lang.String.split(); ,java.lang.String; 
How to specify Log4J 2.x config location?,org.apache.logging.log4j.core.config.Configurator.initialize(); ,org.apache.logging.log4j.core.config.Configurator; 
